chindi,cenglish
क्या आप इस कॉल के कम्पलीट होने के बाद एक छोटे सर्वे में हिस्सा लेना पसंद करेंगे?,Would you mind participating in a brief survey after this call is completed?
हमारे कस्टमर सर्विस टीम की मदद करने के लिए.,To help our customer service team.
बिलकुल मैं समझता हूँ.,"Of course, I understand."
आपकी मदद बेहतर तरीके से करने के लिए क्या आप मुझे बता सकते हैं की कौनसे फीचर्स या सर्विसेज आपके लिए ज़रूरी हैं?,"To better assist you, could you let me know which features or services you consider essential?"
चाहे आप दौंगराडे कर रहे हो?,Even with a downgrade?
बिलकुल मैं आपकी मदद करने के लिए ख़ुशी से तैयार हूँ.,"Of course, I'd be happy to help you with that."
हम तीन प्रमुख प्रकार की लाइफ इन्शुरन्स पॉलिसीस ऑफर करते हैं.,We offer three main types of life insurance policies.
हर्ब लाइफ व्होले लाइफ और यूनिवर्सल लाइफ.,"Herb life, whole life, and universal life."
आप अभी हद सर्विस के लिए सब्सक्राइब करते हैं.,You currently subscribe to the HD service.
लेकिन अगर आपके पास ८क टीवी नहीं है तो.,But unless you have an 8K TV.
तोह आप शायद पिक्चर क्वालिटी में कोई ख़ास फ़र्क़ नहीं देखेंगे.,You probably won't notice a significant change in picture quality.
हम वेंडर से क्रेडिट की रिक्वेस्ट करेंगे इन हालात के चलते.,We will request a credit from the merchant due to the circumstances.
फिर जब पैसा वापस किया जायेगा तो वह आपके अकाउंट में क्रेडिट हो जायेगा.,"Then when the money is returned, it will be credited to your account."
नमस्ते यह करें है कस्टमर सर्विस सुपरवाइजर.,"Hello, this is Karen, the customer service supervisor."
मिस्टर वाल्टों मैं समझता हूँ की आपको अपने आर्डर के साथ कुछ समस्या हो रही है.,"Mr. Walton, I understand you're having an issue with your order."
मैं आपकी कैसे मदद कर सकता हूँ?,How can I assist you?
आपका स्वागत है जेम्स.,"You're welcome, James."
अगर आपको कोई और सवाल हो या कोई और समस्या हो.,If you have any more questions or encounter any further issues.
कृपया हमसे संपर्क करने में हिचकिचाएं मत.,Please feel free to contact us.
हम आपकी मदद के लिए यहाँ हैं.,We're here to help.
आप हमसे संपर्क कर सकते हैं और पार्शियल विथड्रावल की रिक्वेस्ट कर सकते हैं.,You can contact us and request a partial withdrawal.
इससे आपकी पालिसी का डेथ बेनिफिट काम हो जायेगा.,This will reduce the death benefit of your policy.
और इससे टैक्स पर भी कुछ प्रभाव पद सकते हैं.,And may also have tax implications.
मैं आपकी सिचुएशन को पूरी तरह समझता हूँ.,I completely understand your situation.
और मैं आपकी ईमानदारी की सराहना करता हूँ.,And I appreciate your honesty.
आपकी बेहतर सेवा के लिए क्या मैं आपका ईमेल एड्रेस या लॉगिन नाम ले सकता हूँ?,"To better serve you, can I have your email address or login name?"
मैं भी सच में आशा करता हूँ.,I truly hope so too.
आपकी समझदारी के लिए फिर से धन्यवाद.,Thank you again for your understanding.
मैं कल आप से संपर्क करूँगा.,I'll be in touch tomorrow.
और मैं आशा करता हूँ की आपका दिन अब से बेहतर होना शुरू हो जायेगा.,And I hope your day starts looking up from here.
हमारे जीन्स आम तौर पर साइज के हिसाब से फिट होते हैं.,Our jeans tend to run true to size.
लेकिन अगर आपको सूरे नहीं हैं तो हम अपनी वेबसाइट पर साइज गाइड भी प्रोवाइड करते हैं.,"But if you're not sure, we do offer a size guide on our website."
जिसे आप रिफरेन्स के रूप में इस्तेमाल कर सकते हैं,That you can use as a reference.
मैं इसमें आपकी मदद करने के लिए ख़ुशी से तैयार हूँ.,I would be happy to assist you with that.
क्या आप मुझे अपना पालिसी नंबर दे सकते हैं?,Could you provide me with your policy number?
ताकि मैं आपके स्पेसिफिक प्लान डिटेल्स देख सकूं.,So I can pull up your specific plan details.
मैरी अगर आपको इस दौरान कोई सवाल या चिंता हो.,"Mary, if you have any questions or concerns during this period."
कृपया हमसे संपर्क करने में हिचकिचाएं मत.,Please feel free to reach out to us.
क्या आपके पास कोई और सवाल हैं?,Do you have any other questions?
आपका पासवर्ड काम से काम आठ चरक्टेर्स का होना चाहिए.,Your password will need to be at least eight characters.
लेकिन इसमें एक या ज़्यादा कैपिटल लेटर्स होने चाहिए.,"However, it must include one or more capital letters."
और एक स्पेशल सिंबल भी होना चाहिए.,And a special symbol.
मैं समझता हूँ की यह सिम कार्ड का इशू हो सकता है.,I understand it might be a SIM card issue.
क्या आप अपना फ़ोन बंद कर सकते हैं?,Can you please power off your phone?
सिम कार्ड को निकालिये और फिर उससे ध्यान से दोबारा लगा लीजिये.,Remove the SIM card and then reinsert it carefully.
ठीक है चलिए आपके नेटवर्क सेटिंग्स चेक करते हैं.,"Okay, let's check your network settings."
क्या आप सेटिंग्स में जा कर नेटवर्क ऑप्शन पर क्लिक कर सकते हैं?,Can you go to settings and then Network?
ताकि यह कन्फर्म हो सके की वी- फि और मोबाइल डाटा दोनों इनेबल्ड हैं.,To ensure Wi-Fi and mobile data are both enabled.
स्ट्रीट नाम के स्पेलिंग कन्फर्म करने के लिए धन्यवाद.,Thank you for confirming the spelling of the street name.
मैं यह नोट कर लूंगा की इससे साउथ बाउ डुम्बरटन वे के साथ कंफ्यूज न किया जाये.,I will make a note about not confusing it with South Bow Dumbarton Way.
क्या आप अपना नाम दे सकते हैं?,Can you please provide your name?
आपके क्रेडिट कार्ड नंबर के आखरी चार डिजिट्स?,The last four digits of your credit card number?
और आपके कार्ड के पीछे का सिक्योरिटी कोड?,And the security code on the back of your card?
मैं आपकी सब्र की कदर करता हूँ मिस्टर रॉबर्ट्स.,"I appreciate your patience, Mr. Roberts."
यह लगता है की मीटर रीडिंग में कोई गलती थी.,It does appear there was an error in the meter reading.
जिसकी वजह से बिल ज़्यादा आया.,Which caused the bill to be higher.
मैं आपकी निराशा समझता हूँ और देर के लिए माफ़ी चाहता हूँ.,I understand your frustration and I do apologize for the delay.
मैं आपके आर्डर का स्टेटस चेक करता हूँ.,Let me check the status of your order.
कृपया एक पल के लिए रुक जाइये.,Please hold on for a moment.
धन्यवाद मस. गूँधेआट.,"Thank you, Ms. Goodheart."
अगला क्या आप मुझे ट्रांसक्शन की तारिख दे सकते हैं?,"Next, could you please provide me with a transaction date?"
मर्चेंट का नाम और ट्रांसक्शन का अमाउंट?,The merchant's name and the transaction amount?
क्या आप मुझे अपना आर्डर नंबर दे सकते हैं?,Could you please provide me with your order number?
और जो स्मार्टफोन आपने आर्डर किया था उसके बजाये जो आपने रिसीव किया है उसका मॉडल?,And the model of the smartphone you received instead of the one you ordered?
बिलकुल मैं आपकी मदद करने के लिए ख़ुशी से तैयार हूँ.,"Of course, I'd be happy to help you with that."
क्या आप मुझे अपना पालिसी नंबर दे सकते हैं?,Can you provide me with your policy number?
और जिस क्लेम की बात हो रही है उसकी तारिख?,And the date of the claim in question?
मुझे यह सुन कर दुःख हुआ.,I am sorry to hear that.
और मैं समझता हूँ.,And I do understand.
क्या आपके पास कोई ऐसा एड्रेस है जो हम आपको फाइनल स्टेटमेंट भेज सकें?,Do you happen to have a stateside address?
जहाँ हम आपका फाइनल स्टेटमेंट भेज सकें?,Where we can send your final statement?
चलिए देखते हैं.,Let me see.
हमारे क्रेडिट और पेमेंट हिस्ट्री के आधार पर.,Based on our credit and payment history with us.
हमने आपका क्रेडिट लिमिट दस हज़ार डॉलर्स तक बढ़ने का फैसला किया है.,We have decided to increase your credit limit to ten thousand dollars.
हम आपकी जितनी मदद कर सकते हैं उतनी करना चाहते हैं.,We want to help you as much as possible.
क्या मुझे आपका क्रेडिट कार्ड नंबर दे सकते हैं?,Could I please have your credit card number?
ताकि मैं आपके अकाउंट की जानकारी कन्फर्म कर सकूं.,So I can confirm your account information.
अच्छा.,Good.
अब हम आपके नेटवर्क सेटिंग्स रिसेट करने की कोशिश करते हैं.,Now let's try resetting your network settings.
इससे आपका डाटा डिलीट नहीं होगा.,This won't delete your data.
लेकिन यह नेटवर्क से जुड़े प्रैफरेंसेज को रिसेट कर देगा.,But it will reset network-related preferences.
यह सुनने में एक शानदार जगह लगती है रहने के लिए मिस गुप्ता.,"That sounds like a wonderful place to live, Miss Gupta."
क्या आप चाहेंगे की यह परचेस हमारे पास फाइल में जो क्रेडिट कार्ड है उस पर रखा जाये?,Would you like to keep this purchase on the credit card we have on file?
और देखते हैं की क्या कोई टेक्निकल इश्यूज हैं जो हम अपने एन्ड पर रेसोल्वे कर सकते हैं.,And see if there are any technical issues we might be able to resolve on our end.
क्या मुझे आपका अकाउंट नंबर मिल सकता है प्लीज?,"May I have your account number, please?"
मैं आपको याद दिलाना चाहता हूँ.,I would like to remind you.
एयरलाइन्स यह सलाह देती हैं.,The airlines recommend.
आप अपनी फ्लाइट के उड़न भरने से काम से काम ९० मिनट्स पहले पहुँच जाएँ.,You arrive at least 90 minutes before your flight departs.
सिर्फ कन्फर्म करने के लिए.,Just to confirm.
सुबह का पिचकूप १०:३० बजे होगा.,The morning pickup will be at 10:30 AM.
दोपहर का पिचकूप ट्रिनिटी पार्क पर ५ बजे होगा.,The afternoon pickup at Trinity Park will be at 5 PM.
आपका स्वागत है.,You're welcome.
अगर आपके पास कोई और सवाल या चिंता हो.,If you have any other questions or concerns.
कृपया हिचकिचाए बिना हमें वापस कॉल करें.,Please don't hesitate to call us back.
आपका दिन शुभ हो.,Have a nice day.
धन्यवाद सर.,"Thank you, sir."
एक और बात.    ,One more thing...
क्या आप थोड़ी देर रुक कर एक छोटी सी सर्वे का जवाब देना पसंद करेंगे?,Would you mind staying on to answer a brief survey?
जब हमारी कॉल समाप्त हो जाये?,After our call is completed?
मुझे दिख रहा है की यह पेंडिंग है.,I show that it is pending.
लेकिन मुझे इस पर कोई होल्ड नहीं दिख रहा है.,"However, I don't see any hold on it."
इसलिए यह अगले २४ घंटों के अंदर अवेलेबल होना चाहिए.,So it should be available within the next 24 hours.
आपका स्वागत है.,You're welcome.
मैं आपकी कॉल ट्रांसफर कर रहा हूँ.,I'll transfer your call.
सिंगल स्टेप क्रेडिट कार्ड कंपनी को चुनने के लिए धन्यवाद.,Thank you for choosing Single Step Credit Card Company.
आपका दिन अच्छा हो,Have a great day.
आपका स्वागत है.,You're welcome.
अगर आपके पास कोई और सवाल हो.,If you have any further questions.
या भविष्य में मदद की ज़रूरत हो.,Or need assistance in the future.
हिचकिचाए बिना हमें संपर्क करें.,Feel free to reach out to us.
सेटिंग्स के नीचे देखें.,Have a look under Settings.
फिर एकाउंट्स को चुनयिं.,Then choose Accounts.
और अपने ईमेल कैलेंडर और कांटेक्ट अप्प्स को डाटा सिंक करने के लिए सेट करें.,"And set your email, calendar, and contact apps to sync data."
आपके घर के नेटवर्क और वर्कप्लेस पर पासवर्ड्स होने चाहिए.,Your home network and workplace should have passwords.
लेकिन मैं इस बात की गारंटी नहीं दे सकता की यह १००% सुरक्षित होगा.,"However, I cannot guarantee that it will be 100% secure."
हमें साड़ी ज़रूरी डाक्यूमेंट्स मिल गयी हैं.,Have received all of the necessary documents.
हम क्लेम को रिव्यु करेंगे.,We will review the claim.
और इसे जितनी जल्दी हो सके प्रोसेस करेंगे.,And process it as quickly as possible.
अगर आप आज ड्रेस आर्डर करते हैं तोह यह टाइम पर पहुँच जायेगा.,"If you order the dress today, it will certainly arrive in time."
क्या आप चाहेंगे की मैं आपके लिए आर्डर प्लेस कर दूँ?,Would you like me to place the order for you?
हेलो सर आपकी सब्र के लिए धन्यवाद.,"Hello sir, thank you for your patience."
क्या मैं आपको आपके फ़ोन के सेटिंग्स में कुछ स्टेप्स दिखाके समझा सकता हूँ?,Could I walk you through a few steps in the settings on your phone?
बिलकुल सर मैं समझ गया हूँ.,"Of course sir, I understand."
मैं आपके सर्विस को दोबारा ेवलुएट करने के लिए नोट बना सकता हूँ.,I can make a note to re-evaluate your service.
३ महीने के पीरियड के एन्ड के आस- पास.,Near the end of the 3-month period.
धन्यवाद मिस ली.,"Thank you, Miss Lee."
क्या आप मुझे अपनी सिचुएशन के बारे में ज़्यादा बता सकती हैं?,Could you tell me more about your situation?
और क्यों आप अपना पेमेंट नहीं कर प् रही हैं?,And why you're unable to make your payment?
धन्यवाद मिस्टर मक्दानिएल.,"Thank you, Mr. McDaniel."
मैं आपका अकाउंट अपडेट करूँगा.,I will update your account.
आपको अगले २४ घंटो के अंदर चंगेस दिखाई देंगे.,You should see the changes within the next 24 hours.
मुझे याद भी नहीं आ रहा की मैंने कौनसा लिया है.,I can't even remember which one I have.
हाँ आप हमारी प्रीमियम हाई- डेफिनिशन सर्विस के लिए रजिस्टर्ड हैं.,"Uh, yes, you are registered for our premium high-definition service."
मुझे आपके बिल में फ़र्क़ दिख रहा है.,I see the discrepancy in your bill.
और मैं किसी भी गलती के लिए खेद व्यक्त करता हूँ.,And I apologize for any error.
मैं तुरंत आपके लिए उससे सही कर देता हूँ.,Let me correct that for you right away.
मुझे ख़ुशी हुई.,It was my pleasure.
सिंगल स्टेप लाइफ इन्शुरन्स कंपनी को चुनने के लिए धन्यवाद.,Thank you for choosing Single Step Life Insurance Company.
आप अपने दिन का बाकी हिस्सा एन्जॉय करें.,Enjoy the rest of your day.
और वक़्त के साथ कॅश वैल्यू भी बिल्ड होती है.,And also build cash value over time.
आप कॅश वैल्यू के अगेंस्ट लोन ले सकते हैं.,You can borrow against the cash value.
या आप इसे किसी भी वजह से विथड्रॉ कर सकते हैं.,Or withdraw it for any reason.
कैन यू प्लीज प्रोवाइड में   योर अकाउंट नंबर?,Kya aap kripya mujhe apna khaata number pradaan kar sakte hain?
और कैन यू प्रोवाइड थे ईमेल एड्रेस एसोसिएटेड   योर मेम्बरशिप?,Ya apni sadasyata se juda email pata pradaan kar sakte hain?
मुझे यह सुनके खेद है की आप बजट की कठिनाइयों का सामना कर रहे हैं.,I'm sorry to hear that you're facing budget constraints.
हम आपकी वफादारी को एक लम्बी समय तक सब्सक्राइबर होने के रूप में मानते हैं.,We value your loyalty as a longtime subscriber.
मैं इसमें आपकी मदद करने के लिए खुश हूँ.,I'll be glad to assist you with that.
आपके अकाउंट को एक्सेस करने के लिए पहले मुझे आपका अकाउंट नंबर चाहिए होगा.,"To access your account, first I'll need your account number."
कृपया.,Please.
बिलकुल मैं आपकी मदद ज़रूर कर सकता हूँ.,"Of course, I can most certainly help you with that."
क्या आप अपना नाम दे सकते हैं?,Could you please provide your name?
और पालिसी नंबर?,And policy number?
यह लो चलिए देखते हैं.,"Here we are, let's see."
हाँ यह दिखता है की पिछले तीन महीनो में आपका डाटा यूसेज बढ़ा है.,"Yes, it does show that your data usage has increased over the past three months."
हम आपको परेशानी के लिए खेद व्यक्त करते हैं.,We do apologize for the inconvenience.
लेकिन लम्बी पासवर्ड्स ज़्यादा सिक्योरिटी का एक एक्स्ट्रा लेयर देती हैं.,"However, the longer passwords do offer an added layer of security."
क्या मैं पूछ सकता हूँ की क्या वह खड़े हो सकते हैं?,May I ask if they are able to stand up?
जब ड्राइवर व्हीलचेयर को वन के पिछले हिस्सा में रखता है?,While the driver places the wheelchair into the back of the van?
मैं समझता हूँ की यह कितना परेशानी का हो सकता है.,I understand how inconvenient that can be.
क्या आप कृपया मुझे अपना सर्विस रिक्वेस्ट नंबर दे सकते हैं?,Could you please provide me with your service request number?
मैं वेयरहाउस को एक रिक्वेस्ट भेज सकता हूँ की वो हमें अपडेट भेजे.,I can make a request to the warehouse to send us an update.
फिर हम आपको उस इनफार्मेशन के साथ कॉल कर सकते हैं.,Then we can call you with the information.
मैं बस दूसरी स्क्रीन खोल लेता हूँ.,Let me just pull up this other screen.
एक सेकंड.,Just a sec.
स्लिम प्लान का करंट प्राइस $३९ पैर मंथ है.,The current price for the slim plan is $39 per month.
मैं आपकी नाराज़गी समझ सकता हूँ सर.,"I can understand your frustration, sir."
कृपया हमारे शिपिंग डिपार्टमेंट से ईमेल उपदटेस चेक करें.,Please check for the email updates from our shipping department.
हाँ आप यह कर सकते हैं.,"Yes, you are able to do that."
व्होले लाइफ इन्शुरन्स पॉलिसीस को ऐसे डिज़ाइन किया गया है की यह पूरी ज़िन्दगी के लिए सुरक्षा प्रदान करें.,Whole life insurance policies are designed to provide lifelong protection.
उसके लिए धन्यवाद.,Thank you for that.
मैं बस आपका अकाउंट इनफार्मेशन रेट्रिएवे कर लेता हूँ.,Let me just retrieve your account information.
इसमें बस कुछ सेकण्ड्स लगेंगे.,This should only take a few seconds.
बिलकुल मैं आपकी मदद कर सकता हूँ.,"Of course, I can help you with that."
क्या आप कृपया पिचकूप के लिए डेट और टाइम दे सकते हैं?,Could you please provide me with the date and time for the pickup?
मुझे बहुत खेद है यह सुनके की आपको यह सब झेलना पड़ा.,I'm so sorry to hear you had to go through all that.
हम ज़रूर आपकी इस खरीदारी को डिस्प्यूट करने में मदद करेंगे.,We will certainly help you dispute this purchase.
वह सर्विस हमारी सबसे मेहेंगी सर्विस है.,That service does happen to be our most expensive service.
फिलहाल आप $२२९. ९९ पैर मंथ दे रहे हैं.,"Currently, you're paying $229.99 per month."
धन्यवाद मिस होवेल्ल.,"Thank you, Miss Howell."
ओह मुझे लगता है हमने आपका डाटा अपने सिस्टम में डाला हुआ है.,"Oh, I think we have you in our system."
क्या आप अभी भी मॉकिंगबर्ड लेन पर रह रहे हैं?,Are you still living on Mockingbird Lane?
हम आपके अनुभव को सुधरने के लिए क्या कर सकते हैं?,We can do to improve your experience.
क्या आप कृपया बता सकते हैं की आपको कौनसे स्पेसिफिक इश्यूज का सामना हो रहा है?,Could you please share what specific issues you've been facing?
आपको फ़ोन को हमारे किसी ऑथॉरिज़ेड रिपेयर स्टोर में ले जाना होगा.,You will need to bring the phone into one of our authorized repair stores.
और अपना पिक्चर ईद भी साथ में लाना होगा.,Along with a picture ID.
हमने डिलीवरी को तेज़ कर दिया है.,We've expedited the delivery.
एक तकनीशियन कल आपके घर आएगा रिपेयर कम्पलीट करने के लिए.,A technician will be at your home tomorrow to complete the repair.
अगर आप कॉन्टिनेंटल उस के किसी भी हिस्से में रहते हैं.,If you live anywhere in the Continental US.
हमारे प्रोडक्ट्स को आने में ज़्यादा से ज़्यादा चार दिन लगेंगे.,Our products will take no more than four days to arrive.
सर अगर आप उस बटन पर क्लिक करते हैं.,"Sir, if you click on that button."
यह आपको दिखायेगा की कौनसे अप्प्स आपके स्मार्टफोन पर सबसे ज़्यादा डाटा उसे करते हैं.,It should show you which apps use the most data on your smartphone.
धन्यवाद मिस्टर डगलस.,"Thank you, Mr. Douglas."
आपके हेल्थ इन्शुरन्स प्लान के बारे में आपके क्या सवाल हैं?,What questions do you have regarding your health insurance plan?
और कवरेज के बारे में?,And coverage?
धन्यवाद मिस्टर पाचें.,"Thank you, Mr. Patchen."
इस अकाउंट से जुड़े हुए प्राइमरी फ़ोन नंबर क्या है?,What is the primary phone number that will be associated with this account?
बिलकुल मैं आपकी मदद कर सकता हूँ.,"Absolutely, I can help you with that."
क्या मैं पूछ सकता हूँ की क्या आप ऐसे प्लान की तलाश में हैं जो ज़्यादा डाटा दे?,May I ask if you are looking for a plan that offers more data?
यह आपकी मदद करेगा मिस्टर इंग्लिश.,"That should help you, Mr. English."
अगर आप उन स्टेप्स को फॉलो करते हैं तोह यह आपका मंथली डाटा यूसेज काम कर देगा.,"If you follow those steps, it should lower your monthly data usage."
हमने डिलीवरी को तेज़ कर दिया है.,We've expedited the delivery.
एक तकनीशियन कल आपके घर आएगा रिपेयर कम्पलीट करने के लिए.,A technician will be at your home tomorrow to complete the repair.
अगर आप कॉन्टिनेंटल उस के किसी भी हिस्से में रहते हैं.,If you live anywhere in the Continental US.
हमारे प्रोडक्ट्स को आने में ज़्यादा से ज़्यादा चार दिन लगेंगे.,Our products will take no more than four days to arrive.
सर अगर आप उस बटन पर क्लिक करते हैं.,"Sir, if you click on that button."
यह आपको दिखायेगा की कौनसे अप्प्स आपके स्मार्टफोन पर सबसे ज़्यादा डाटा उसे करते हैं.,It should show you which apps use the most data on your smartphone.
धन्यवाद मिस्टर डगलस.,"Thank you, Mr. Douglas."
आपके हेल्थ इन्शुरन्स प्लान के बारे में आपके क्या सवाल हैं?,What questions do you have regarding your health insurance plan?
और कवरेज के बारे में?,And coverage?
धन्यवाद मिस्टर पाचें.,"Thank you, Mr. Patchen."
इस अकाउंट से जुड़े हुए प्राइमरी फ़ोन नंबर क्या हैं?,What is the primary phone number that will be associated with this account?
बिलकुल मैं आपकी मदद कर सकता हूँ.,"Absolutely, I can help you with that."
क्या मैं पूछ सकता हूँ की क्या आप ऐसे प्लान की तलाश में हैं जो ज़्यादा डाटा दे?,May I ask if you are looking for a plan that offers more data?
यह आपकी मदद करेगा मिस्टर इंग्लिश.,"That should help you, Mr. English."
अगर आप उन स्टेप्स को फॉलो करते हैं तोह यह आपका मंथली डाटा यूसेज काम कर देगा.,"If you follow those steps, it should lower your monthly data usage."
यह मर्चेंट के हिसाब से अलग होता है.,It varies by the merchant.
लेकिन क्रेडिट आपके अकाउंट में पांच से सात दिन के अंदर दिखाई देना चाहिए.,But the credit should appear in your account within five to seven days.
धन्यवाद मिस रॉबर्ट्सन.,"Thank you, Miss Robertson."
एक और बात वेरिफिकेशन के लिए.,One more thing for verification purposes.
क्या मैं आपका फेवरेट कलर ले सकता हूँ?,May I have your favorite color?
उस इनफार्मेशन के लिए धन्यवाद.,Thank you for that information.
और लगभग किस समय आप पिचकूप सचेडूले करवाना चाहेंगे?,And approximately what time would you like the pickups scheduled?
उसके लिए धन्यवाद.,Thank you for that.
बस कन्फर्म करने के लिए यह ३४ वैस्ट और ३०- इंच   होगा.,"Just to confirm, that will be a 34 waist and a 30-inch length."
क्या यह सही है?,Is that correct?
धन्यवाद मिस स्टोन.,"Thank you, Miss Stone."
और क्या मैं आपका ईमेल एड्रेस कन्फर्म कर सकता हूँ?,"Also, may I confirm your email address?"
ताकि मैं आपको शिपिंग लेबल भेज सकूं.,So I can send you the shipping label.
मैं आपकी चिंता को पूरी तरह समझता हूँ सर.,"I completely understand your concern, sir."
हम इस बिलिंग इशू को जल्दी से सोल्वे करने का ध्यान रखेंगे.,We'll make sure to resolve this billing issue promptly.
मस. मक्लीन्नन क्या कोई फॅमिली मेंबर ने आपका फ़ोन उसे किया हो सकता है?,"Ms. McLennan, is there any chance a family member could have used your phone?"
इन कॉल्स को प्लेस करने के लिए?,To place these calls?
समझ गया.,I see.
मैं आपके लिए चार्जेज हटा दूंगा.,I'll remove the charges for you.
और एक क्रेडिट आपके अगले बिलिंग स्टेटमेंट पर दिखाई देगा.,And a credit will appear on your next billing statement.
धन्यवाद मिस्टर बटलर.,"Thank you, Mr. Butler."
एक और बात सिक्योरिटी के लिए.,"One more thing, for security purposes."
क्या मैं आपकी माँ का मेडेन नाम ले सकता हूँ?,May I have your mother's maiden name?
हाँ सर आप मुझे स्पीकर फ़ोन पर रख सकते हैं.,"Yes, sir, you can put me on speaker phone."
और फिर भी आप अपने फ़ोन के सेटिंग्स चेक कर सकते हैं.,And still be able to check the settings on your phone.
जो अभी भी ब्राउज़िंग के लिए एक उचित मात्रा में डाटा देता है.,Which still offers a reasonable amount of data for browsing.
और साथ ही मंथली फीस को भी काम करता है.,While also reducing monthly fees.
मुझे देखने दीजिये.,Let me see.
अगर आपका कैलेंडर कॉन्टेक्ट्स और ईमेल हर १५ मिनट में सिंक होते हैं.,"If your calendar, contacts, and email sync every 15 minutes."
यह आपका डाटा ख़तम कर सकता है.,That may drain your data.
मैं आपको एक टेक्स्ट मैसेज भेजूंगा.,I will send you a text message.
उसमे उन रिपेयर स्टोर्स की लिस्टिंग होगी.,With a listing of those repair stores.
थोड़ी देर में.,In just a little while.
उस इनफार्मेशन के लिए धन्यवाद.,Thank you for that information.
और क्या आप अपना पहला और आखरी नाम मेरे लिए कन्फर्म कर सकते हैं?,And could you please confirm your first and last name for me?
धन्यवाद मिस्टर पाचें.,"Thank you, Mr. Patchen."
हम आपको एक कॉन्ट्रैक्ट ईमेल करेंगे.,We will email you a contract.
जिसे आपको प्रिंट सिग्न और स्कैन करना होगा.,"That you will need to print, sign, and scan."
क्या घर पर कोई और होगा?,Will there be anyone else at home?
जो तकनीशियन के ख़तम होने तक रुक सके?,That might be able to wait for the technician to finish?
मैं भी खुश हूँ सर.,"I'm glad as well, sir."
गोल्ड कोस्ट इलेक्ट्रिक को कॉल करने के लिए फिर से धन्यवाद.,Thank you again for calling Gold Coast Electric.
आपका दिन शानदार रहे,Have a wonderful day.
नहीं यह ज़रूरी नहीं होगा मिस स्ताप्लेटों.,"No, that won't be necessary, Miss Stapleton."
मैं आपके लिए बिलिंग की गलती को देख लूंगा.,I'll look into the billing discrepancy for you.
मुझे देखने दीजिये.,Let me see.
आपने यह फ़ोन हमारे नोवतो स्टोर से ख़रीदा है.,You bought this phone at our Novato store.
आपके पास फुल इन्शुरन्स पैकेज है.,You have the full insurance package.
मुझे दर है.,Mujhe dar hai ki hamen radd kie gae khaaton ke lie bhee ek kaagajee prati bhejanee hogee.
की हमें रद्द किए गए खातों के लिए भी एक कागजी प्रति भेजनी होगी.,Mujhe lagta hai ki yeh ho sakta hai.
"Thank यू सो much again. My नाम इस Lawrence, एंड आईटी has been ा प्लेअसुरे helping यू today. ",Ki humein cancel kiye gaye accounts ke liye bhi ek paper copy bhejni padegi.
फिर से बहुत- बहुत शुक्रिया.,Thank you so much again.
मेरा नाम लॉरेंस है.,My name is Lawrence.
आज आपकी मदद करके मुझे ख़ुशी हुई.,It has been a pleasure helping you today.
ठीक है डेस्टिनेशन सिटी हॉस्पिटल है.,"Okay, destination City Hospital."
हम कल २:३० बजे आपके एड्रेस पर गाडी भेजेंगे.,We will send the vehicle to your address at 2:30 tomorrow.
धन्यवाद आपका नया कार्ड आज के बाद भेजा जायेगा.,"Thanks, your new card will go out later today."
यह पांच वर्किंग दिनों के अंदर पहुँच जाना चाहिए.,It should arrive within five business days.
ऐसा लगता है की उस कार्ड नंबर के साथ कोई समस्या है.,There seems to be a problem with that card number.
क्या मैं आपके साथ नंबर कन्फर्म कर सकता हूँ?,May I just confirm the number with you?
हम यहां वेरिफिकेशन के लिए हैं.,Here we are for verification purposes.
क्या आप अपना पहला और आखरी नाम कन्फर्म कर सकते हैं?,Could you please confirm your first and last name?
धन्यवाद मिस्टर पाचें.,"Thank you, Mr. Patchen."
आपका सब कुछ तैयार है.,You are all set.
आपकी बिजली सेवा बुधवार से शुरू होनी चाहिए,Your electric service should start on Wednesday.
क्या आप लाइन पर बने रहने में कोई ऐतराज़ करेंगे?,Would you mind staying on the line?
ताकि हमारी कॉल के बाद एक छोटी सी सर्वे का जवाब दे सकें?,To answer a brief survey after our call is completed?
ये ठीक रहेगा.,That will be fine.
और वापस घर के लिए आप ड्राइवर को किस समय आने के लिए कहना चाहेंगे?,And what time would you like the driver to arrive for the return home?
बिलकुल.,Sure.
हमारे रिकार्ड्स के मुताबिक आपका करंट बैलेंस एक हज़ार पांच सौ डॉलर्स है.,"According to our records, your current balance is one thousand five hundred dollars."
बहुत धन्यवाद.,Thank you so much.
मेरा नाम मरिएल्ले है.,My name is Marielle.
और एक बार फिर बोनो फ़ोन को कॉल करने के लिए धन्यवाद.,"And once again, thank you for calling Buono Phone."
धन्यवाद मिस जैक्सन.,"Thank you, Miss Jackson."
मैं तुरंत आपके रिपेयर रिक्वेस्ट का स्टेटस चेक करने जा रहा हूँ.,I'm going to check the status of your repair request right away.
इसके लिए धन्यवाद.,Thank you for that.
अगर आप अपना ईमेल चेक करेंगे तोह वहां आपको अपना पासवर्ड रिसेट करने के लिए एक लिंक मिलेगा.,"If you check your email, there will be a link to reset your password."
